Moves on last-solved board:
1.  Row 1 , Col 3 Right Line, turned on
2.  Row 1 , Col 3 Bottom Line, turned on
3.  Row 3 , Col 1 Right Line, turned on
4.  Row 3 , Col 1 Top Line, turned on
5.  Row 1 , Col 3 Right Line, turned on
6.  Row 2 , Col 1 Bottom Line, turned on
7.  Row 5 , Col 10 Bottom Line, turned on
8.  Row 1 , Col 2 Top Line, turned on
9.  Row 1 , Col 4 Top Line, turned on
10. Row 1 , Col 4 Right Line, turned on
11. Row 2 , Col 1 Top Line, turned on
12. Row 2 , Col 1 Left Line, turned on
13. Row 3 , Col 1 Bottom Line, turned on
14. Row 1 , Col 2 Left Line, turned on
15. Row 4 , Col 1 Left Line, turned on
16. Row 2 , Col 3 Bottom Line, turned on
17. Row 3 , Col 3 Left Line, turned on
18. Row 3 , Col 3 Right Line, turned on
19. Row 4 , Col 2 Right Line, turned on
20. Row 3 , Col 4 Right Line, turned on
21. Row 4 , Col 3 Right Line, turned on
22. Row 4 , Col 4 Bottom Line, turned on
23. Row 3 , Col 5 Bottom Line, turned on
24. Row 2 , Col 4 Right Line, turned on
25. Row 5 , Col 4 Right Line, turned on
26. Row 5 , Col 3 Left Line, turned on
27. Row 6 , Col 3 Left Line, turned on
28. Row 6 , Col 4 Bottom Line, turned on
29. Row 5 , Col 5 Bottom Line, turned on
30. Row 7 , Col 4 Left Line, turned on
31. Row 7 , Col 5 Top Line, turned on
32. Row 7 , Col 5 Bottom Line, turned on
33. Row 8 , Col 5 Left Line, turned on
34. Row 8 , Col 5 Bottom Line, turned on
35. Row 8 , Col 6 Top Line, turned on
36. Row 9 , Col 4 Left Line, turned on
37. Row 9 , Col 4 Bottom Line, turned on
38. Row 7 , Col 3 Bottom Line, turned on
39. Row 9 , Col 3 Top Line, turned on
40. Row 2 , Col 5 Right Line, turned on
41. Row 2 , Col 6 Top Line, turned on
42. Row 2 , Col 6 Bottom Line, turned on
43. Row 1 , Col 6 Right Line, turned on
44. Row 1 , Col 7 Top Line, turned on
45. Row 1 , Col 7 Right Line, turned on
46. Row 2 , Col 7 Right Line, turned on
47. Row 3 , Col 6 Right Line, turned on
48. Row 2 , Col 8 Bottom Line, turned on
49. Row 4 , Col 6 Right Line, turned on
50. Row 4 , Col 5 Right Line, turned on
51. Row 4 , Col 6 Bottom Line, turned on
52. Row 4 , Col 7 Right Line, turned on
53. Row 4 , Col 8 Top Line, turned on
54. Row 6 , Col 5 Right Line, turned on
55. Row 6 , Col 2 Bottom Line, turned on
56. Row 8 , Col 2 Top Line, turned on
57. Row 7 , Col 1 Top Line, turned on
58. Row 6 , Col 1 Top Line, turned on
59. Row 6 , Col 1 Left Line, turned on
60. Row 7 , Col 1 Bottom Line, turned on
61. Row 4 , Col 1 Bottom Line, turned on
62. Row 5 , Col 1 Right Line, turned on
63. Row 8 , Col 1 Left Line, turned on
64. Row 9 , Col 1 Left Line, turned on
65. Row 1 , Col 8 Right Line, turned on
66. Row 1 , Col 9 Top Line, turned on
67. Row 1 , Col 9 Bottom Line, turned on
68. Row 1 , Col 10 Top Line, turned on
69. Row 1 , Col 10 Right Line, turned on
70. Row 2 , Col 9 Right Line, turned on
71. Row 2 , Col 9 Bottom Line, turned on
72. Row 2 , Col 10 Right Line, turned on
73. Row 3 , Col 10 Right Line, turned on
74. Row 4 , Col 8 Right Line, turned on
75. Row 5 , Col 7 Right Line, turned on
76. Row 4 , Col 9 Right Line, turned on
77. Row 5 , Col 8 Right Line, turned on
78. Row 4 , Col 10 Top Line, turned on
79. Row 4 , Col 10 Bottom Line, turned on
80. Row 5 , Col 10 Right Line, turned on
81. Row 6 , Col 10 Left Line, turned on
82. Row 6 , Col 10 Bottom Line, turned on
83. Row 6 , Col 8 Right Line, turned on
84. Row 7 , Col 10 Right Line, turned on
85. Row 5 , Col 7 Bottom Line, turned on
86. Row 6 , Col 7 Left Line, turned on
87. Row 7 , Col 8 Right Line, turned on
88. Row 6 , Col 7 Bottom Line, turned on
89. Row 7 , Col 7 Right Line, turned on
90. Row 7 , Col 7 Bottom Line, turned on
91. Row 8 , Col 7 Bottom Line, turned on
92. Row 9 , Col 8 Top Line, turned on
93. Row 9 , Col 8 Right Line, turned on
94. Row 9 , Col 8 Bottom Line, turned on
95. Row 9 , Col 9 Right Line, turned on
96. Row 10 , Col 7 Right Line, turned on
97. Row 10 , Col 7 Left Line, turned on
98. Row 10 , Col 7 Bottom Line, turned on
99. Row 7 , Col 9 Bottom Line, turned on
100. Row 9 , Col 6 Top Line, turned on
101. Row 10 , Col 6 Top Line, turned on
102. Row 8 , Col 9 Right Line, turned on
103. Row 8 , Col 10 Right Line, turned on
104. Row 9 , Col 10 Right Line, turned on
105. Row 10 , Col 9 Right Line, turned on
106. Row 10 , Col 10 Right Line, turned on
107. Row 10 , Col 10 Bottom Line, turned on
108. Row 8 , Col 2 Bottom Line, turned on
109. Row 9 , Col 2 Left Line, turned on
110. Row 9 , Col 2 Bottom Line, turned on
111. Row 10 , Col 1 Left Line, turned on
112. Row 10 , Col 1 Bottom Line, turned on
113. Row 10 , Col 2 Bottom Line, turned on
114. Row 10 , Col 2 Right Line, turned on
115. Row 10 , Col 4 Right Line, turned on
116. Row 10 , Col 5 Bottom Line, turned on
117. Row 10 , Col 5 Right Line, turned on

